epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
54,4365.31,0.6024,0.92424,0.8491,0.96265,0.92058,0.97424,0.81944,0.58285,1.75889,0.82805,0.000834,0.000834,0.000834
55,4445.11,0.60601,0.88434,0.84802,0.96265,0.92058,0.97424,0.81944,0.58285,1.75889,0.82805,0.000812,0.000812,0.000812
56,4523.24,0.69423,0.98517,0.82641,0.94469,0.96429,0.9755,0.80578,0.65211,1.6173,0.83642,0.00079,0.00079,0.00079
57,4600.22,0.65832,0.87087,0.81623,0.93009,0.96429,0.97809,0.81503,0.62397,1.47675,0.83368,0.000768,0.000768,0.000768
58,4678.17,0.6859,0.93493,0.82598,0.93009,0.96429,0.97809,0.81503,0.62397,1.47675,0.83368,0.000746,0.000746,0.000746
59,4758.25,0.69523,0.88846,0.80926,0.95395,0.96429,0.98124,0.83666,0.58027,1.34836,0.83087,0.000724,0.000724,0.000724
60,4836.77,0.66958,0.85867,0.83576,0.96294,0.96429,0.98162,0.84864,0.54121,1.28549,0.82797,0.000702,0.000702,0.000702
61,4917.44,0.70129,0.89625,0.81914,0.96294,0.96429,0.98162,0.84864,0.54121,1.28549,0.82797,0.00068,0.00068,0.00068
62,4997.97,0.58123,0.77358,0.83521,0.96382,0.95157,0.98124,0.84872,0.52309,1.24719,0.82678,0.000658,0.000658,0.000658
63,5077.48,0.61117,0.85613,0.849,0.95633,0.96429,0.98124,0.83455,0.53976,1.20104,0.82842,0.000636,0.000636,0.000636
64,5156.35,0.63314,0.85758,0.83928,0.95633,0.96429,0.98124,0.83455,0.53976,1.20104,0.82842,0.000614,0.000614,0.000614
65,5235.24,0.58192,0.82974,0.83068,0.94669,0.96429,0.97998,0.83901,0.52412,1.13717,0.82862,0.000592,0.000592,0.000592
66,5311.75,0.58568,0.85757,0.82144,0.94812,0.97917,0.98166,0.85108,0.50787,1.06861,0.82507,0.00057,0.00057,0.00057
67,5390.46,0.60203,0.84457,0.80529,0.94812,0.97917,0.98166,0.85108,0.50787,1.06861,0.82507,0.000548,0.000548,0.000548
68,5468.6,0.59366,0.82644,0.82102,0.96077,0.98214,0.98325,0.85212,0.50707,1.01753,0.82376,0.000526,0.000526,0.000526
69,5547.87,0.64919,0.88406,0.84942,0.99778,0.94643,0.98362,0.8609,0.49697,1.02825,0.82086,0.000504,0.000504,0.000504
70,5624.05,0.57373,0.78915,0.81899,0.99778,0.94643,0.98362,0.8609,0.49697,1.02825,0.82086,0.000482,0.000482,0.000482
71,5701.21,0.53141,0.76344,0.82139,0.9961,0.94643,0.98362,0.85918,0.48134,1.03836,0.81874,0.00046,0.00046,0.00046
72,5778.7,0.57314,0.84811,0.84677,0.99679,0.94643,0.98362,0.87314,0.46962,1.0529,0.82056,0.000438,0.000438,0.000438
73,5856.21,0.55804,0.76622,0.8047,0.99679,0.94643,0.98362,0.87314,0.46962,1.0529,0.82056,0.000416,0.000416,0.000416
74,5931.99,0.59481,0.77705,0.81334,0.99652,0.94643,0.98362,0.86963,0.48529,1.05032,0.82027,0.000394,0.000394,0.000394
75,6009.28,0.53441,0.80107,0.82022,0.99672,0.94643,0.98362,0.85687,0.4743,1.03317,0.82006,0.000372,0.000372,0.000372
76,6084.85,0.56304,0.77628,0.79029,0.99672,0.94643,0.98362,0.85687,0.4743,1.03317,0.82006,0.00035,0.00035,0.00035
77,6162.22,0.60239,0.77278,0.78866,0.9974,0.94643,0.98431,0.87044,0.4507,0.99463,0.81857,0.000328,0.000328,0.000328
78,6238.07,0.48981,0.76787,0.78498,0.99747,0.94643,0.98431,0.88368,0.43265,0.95329,0.81688,0.000306,0.000306,0.000306
79,6317.7,0.59819,0.79309,0.84439,0.99747,0.94643,0.98431,0.88368,0.43265,0.95329,0.81688,0.000284,0.000284,0.000284
80,6393.31,0.55241,0.75518,0.83019,0.9971,0.94643,0.98362,0.87896,0.41946,0.91418,0.81614,0.000262,0.000262,0.000262
81,6471.17,0.48109,0.9102,0.79403,0.99748,0.94643,0.98362,0.87813,0.40493,0.91171,0.81539,0.00024,0.00024,0.00024
82,6557.65,0.51452,0.89449,0.81448,0.99748,0.94643,0.98362,0.87813,0.40493,0.91171,0.81539,0.000218,0.000218,0.000218
83,6633.74,0.52145,0.93855,0.79045,0.99789,0.94643,0.98362,0.8784,0.40012,0.92264,0.81502,0.000196,0.000196,0.000196
84,6711.66,0.43644,0.814,0.8313,1,0.94196,0.98362,0.87546,0.39875,0.93866,0.81489,0.000174,0.000174,0.000174
85,6791.43,0.47332,0.86524,0.82615,1,0.94196,0.98362,0.87546,0.39875,0.93866,0.81489,0.000152,0.000152,0.000152
86,6867.74,0.49297,0.9014,0.78623,0.96465,0.97472,0.98325,0.87982,0.39849,0.94457,0.81385,0.00013,0.00013,0.00013
87,6945.65,0.48057,0.90871,0.77853,0.9647,0.97618,0.98325,0.88308,0.39301,0.933,0.81314,0.000108,0.000108,0.000108
88,7021.25,0.4407,0.89284,0.80256,0.9647,0.97618,0.98325,0.88308,0.39301,0.933,0.81314,8.6e-05,8.6e-05,8.6e-05
89,7097.68,0.47417,0.90241,0.77113,0.96474,0.9771,0.98325,0.88296,0.38846,0.91554,0.81271,6.4e-05,6.4e-05,6.4e-05
90,7180.09,0.44427,0.83846,0.81086,0.96476,0.97782,0.98362,0.88793,0.38459,0.89678,0.81345,4.2e-05,4.2e-05,4.2e-05
